uf;latitude;longitude;substancia
MG;-18644;-43413;Ouro
MG;-18942;-43448;Ouro
MG;-18626;-43416;Ouro
BA;-13093;-42420;Ouro
PA;-5213;-57573;Ouro
PA;-5935;-56536;Ouro
PA;-5948;-56519;Ouro
PA;-5938;-56527;Ouro
MG;-19315;-43451;Ouro
RR;3972;-64446;Ouro
RR;3351;-62027;Ouro
RR;3400;-62090;Ouro
RR;3500;-62289;Ouro
AM;666;-66234;Ouro
AM;583;-66150;Ouro
PA;-7112;-56889;Ouro
PA;-6375;-56275;Ouro
AP;1595;-54086;Ouro
GO;-15325;-50628;Ouro
GO;-14811;-49593;Ouro
GO;-14680;-48938;Ouro
AM;878;-63288;Ouro
AM;790;-63176;Ouro
MT;-14450;-56784;Ouro
MT;-15799;-56388;Ouro
MT;-16283;-56618;Ouro
MT;-16288;-56645;Ouro
MT;-16281;-56631;Ouro
CE;-4369;-40660;Ouro
CE;-4170;-40653;Ouro
RS;-30838;-53817;Ouro
RS;-30935;-52648;Ouro
RS;-30951;-52628;Ouro
MG;-17187;-46880;Ouro
GO;-15644;-50338;Ouro
GO;-14562;-49588;Ouro
GO;-13568;-48055;Ouro
GO;-14984;-49298;Ouro
GO;-14587;-48939;Ouro
GO;-15324;-49341;Ouro
GO;-15810;-49307;Ouro
GO;-15826;-48919;Ouro
GO;-17236;-48584;Ouro
GO;-17824;-48085;Ouro
MG;-15972;-43139;Ouro
MG;-21839;-45549;Ouro
MG;-21839;-45548;Ouro
MG;-21837;-45547;Ouro
MG;-21841;-45547;Ouro
MG;-21843;-45537;Ouro
MG;-21845;-45536;Ouro
MG;-21832;-45536;Ouro
MG;-21841;-45531;Ouro
MG;-21818;-45539;Ouro
MG;-21815;-45538;Ouro
MG;-21825;-45525;Ouro
MG;-21823;-45521;Ouro
MG;-21821;-45510;Ouro
MG;-21832;-45505;Ouro
MG;-21830;-45555;Ouro
MG;-21831;-45452;Ouro
MG;-21831;-45447;Ouro
MG;-21814;-45425;Ouro
MG;-21822;-45420;Ouro
MG;-21821;-45403;Ouro
MG;-21836;-45417;Ouro
MG;-21840;-45410;Ouro
MG;-21842;-45413;Ouro
MG;-21850;-45423;Ouro
MG;-21820;-45386;Ouro
MG;-21824;-45380;Ouro
MG;-21835;-45394;Ouro
MA;-1270;-46030;Ouro
MA;-1930;-45920;Ouro
PA;-6440;-52036;Ouro
RS;-32246;-53514;Ouro
PA;-7340;-50580;Ouro
PA;-7340;-50620;Ouro
PA;-7267;-50650;Ouro
PA;-7320;-50660;Ouro
PA;-7350;-50700;Ouro
RR;509;-59413;Ouro
PE;-7309;-37257;Ouro
RN;-6443;-37194;Ouro
PA;-5085;-57440;Ouro
AM;-5663;-58035;Ouro
PA;-6267;-57418;Ouro
PA;-5998;-57366;Ouro
PA;-6017;-57372;Ouro
GO;-15385;-49019;Ouro
GO;-15462;-50363;Ouro
GO;-15915;-50676;Ouro
GO;-16310;-52053;Ouro
GO;-16352;-50945;Ouro
TO;-13384;-47701;Ouro
TO;-10962;-48586;Ouro
TO;-11066;-48625;Ouro
TO;-10818;-48576;Ouro
GO;-16610;-49880;Ouro
MG;-19962;-43468;Ouro
MG;-19952;-43450;Ouro
MG;-19995;-43455;Ouro
MG;-19972;-43208;Ouro
MG;-19955;-43180;Ouro
MG;-19880;-43407;Ouro
MG;-19630;-43237;Ouro
MG;-19943;-43557;Ouro
MG;-19950;-43657;Ouro
MG;-19968;-43689;Ouro
MG;-19940;-43655;Ouro
MG;-19975;-43718;Ouro
MG;-19955;-43721;Ouro
MG;-19927;-43723;Ouro
MG;-19922;-43694;Ouro
MG;-19902;-43683;Ouro
MG;-19884;-43691;Ouro
MG;-19877;-43679;Ouro
MG;-19867;-43684;Ouro
MG;-19863;-43674;Ouro
MG;-19817;-43653;Ouro
MG;-19819;-43651;Ouro
MG;-19787;-43638;Ouro
MG;-19905;-43725;Ouro
MG;-19819;-43879;Ouro
MG;-19930;-43732;Ouro
MG;-19912;-43768;Ouro
MG;-19925;-43772;Ouro
MG;-19930;-43800;Ouro
MG;-19888;-43791;Ouro
MG;-19974;-43812;Ouro
MG;-19967;-43817;Ouro
MG;-19603;-43805;Ouro
MT;-16267;-56767;Ouro
MT;-16257;-56621;Ouro
MT;-16088;-56570;Ouro
BA;-10996;-40453;Ouro
BA;-11453;-42507;Ouro
BA;-13450;-42006;Ouro
BA;-13578;-41800;Ouro
BA;-13600;-41803;Ouro
BA;-13617;-41823;Ouro
BA;-13644;-41839;Ouro
BA;-13712;-41984;Ouro
BA;-14982;-39928;Ouro
BA;-15967;-39668;Ouro
MG;-21845;-45396;Ouro
MG;-21854;-45403;Ouro
MG;-21857;-45406;Ouro
MG;-21838;-45389;Ouro
MG;-21838;-45385;Ouro
MG;-21845;-45377;Ouro
MG;-21846;-45374;Ouro
MG;-21826;-45373;Ouro
BA;-11466;-42499;Ouro
BA;-12020;-42545;Ouro
BA;-11612;-42574;Ouro
BA;-11576;-42484;Ouro
BA;-11562;-42479;Ouro
BA;-11482;-42528;Ouro
BA;-11473;-42468;Ouro
BA;-11460;-42499;Ouro
BA;-11459;-42518;Ouro
PB;-7170;-38092;Ouro
PB;-7009;-37646;Ouro
PB;-7475;-38392;Ouro
PB;-7125;-37529;Ouro
PB;-7125;-37550;Ouro
PB;-7135;-37559;Ouro
PB;-7250;-37509;Ouro
PB;-7559;-38100;Ouro
RO;-8473;-63537;Ouro
RO;-9600;-65112;Ouro
RO;-11826;-61900;Ouro
RO;-9611;-65422;Ouro
RO;-10161;-62799;Ouro
RO;-8734;-63924;Ouro
RO;-8767;-63918;Ouro
RO;-8588;-63713;Ouro
RO;-8577;-63715;Ouro
RO;-13264;-60364;Ouro
RO;-10348;-65363;Ouro
RO;-13109;-60427;Ouro
RO;-13073;-60537;Ouro
RO;-12927;-60946;Ouro
RO;-11800;-62075;Ouro
RO;-11817;-62068;Ouro
AP;2031;-51026;Ouro
AP;1825;-51023;Ouro
AP;1532;-50949;Ouro
AP;1473;-51419;Ouro
AP;2510;-51760;Ouro
AP;2470;-51790;Ouro
AP;1320;-51179;Ouro
AP;2350;-51670;Ouro
AP;1217;-51224;Ouro
AP;2320;-51660;Ouro
AP;2330;-51600;Ouro
AP;1173;-51259;Ouro
AP;2294;-51644;Ouro
AP;2280;-51610;Ouro
AP;1530;-52730;Ouro
AP;1056;-51924;Ouro
AP;1660;-51060;Ouro
PE;-7711;-39277;Ouro
PA;1440;-54180;Ouro
AP;2347;-51683;Ouro
PA;-6009;-52086;Ouro
PA;-6067;-50728;Ouro
PA;-6088;-51869;Ouro
PA;-6190;-52178;Ouro
AP;1480;-50937;Ouro
PA;-6207;-50780;Ouro
AP;1500;-50920;Ouro
AP;1500;-50890;Ouro
AM;1449;-68108;Ouro
AM;209;-64807;Ouro
AM;-6745;-62361;Ouro
MG;-20301;-43594;Ouro
MG;-20300;-43579;Ouro
MG;-20167;-43613;Ouro
MG;-20300;-44097;Ouro
MG;-20285;-43897;Ouro
MG;-20322;-43902;Ouro
MG;-20354;-43878;Ouro
MG;-20530;-43821;Ouro
MG;-20533;-43804;Ouro
MG;-20557;-43778;Ouro
MG;-20567;-43775;Ouro
MG;-20576;-43785;Ouro
MG;-20607;-43726;Ouro
MG;-20017;-43468;Ouro
MG;-20022;-43463;Ouro
MG;-20038;-43466;Ouro
MG;-20163;-43417;Ouro
MG;-20194;-43359;Ouro
MG;-20241;-43425;Ouro
MG;-20255;-42915;Ouro
MG;-20355;-43432;Ouro
MG;-20370;-43471;Ouro
MG;-20376;-43458;Ouro
MG;-20376;-43425;Ouro
MG;-20340;-43273;Ouro
MG;-18625;-43556;Ouro
MG;-18623;-43757;Ouro
MG;-18664;-43814;Ouro
CE;-3960;-40439;Ouro
RR;4867;-60015;Ouro
RR;4527;-60173;Ouro
MG;-21820;-45436;Ouro
MG;-21822;-45438;Ouro
MG;-21824;-45439;Ouro
MG;-21824;-45438;Ouro
MG;-21826;-45435;Ouro
MG;-21828;-45431;Ouro
MG;-21824;-45429;Ouro
MG;-21839;-45416;Ouro
MG;-20089;-41897;Ouro
MG;-17454;-42972;Ouro
RR;2364;-59985;Ouro
RR;2863;-59992;Ouro
MT;-16252;-56621;Ouro
MT;-16270;-56630;Ouro
MT;-16295;-56644;Ouro
MT;-16292;-56605;Ouro
MT;-16226;-56647;Ouro
MT;-16069;-56685;Ouro
MT;-15957;-56293;Ouro
MT;-15885;-56249;Ouro
MT;-15624;-56277;Ouro
MT;-15687;-56350;Ouro
GO;-15775;-48954;Ouro
BA;-13428;-42159;Ouro
BA;-13395;-42200;Ouro
BA;-13510;-42145;Ouro
BA;-13682;-41034;Ouro
BA;-13698;-41017;Ouro
BA;-13584;-41964;Ouro
BA;-11605;-37960;Ouro
RS;-30819;-53944;Ouro
RO;-11791;-62182;Ouro
RO;-11764;-62182;Ouro
RO;-11778;-62158;Ouro
RO;-11687;-62195;Ouro
RO;-11651;-62200;Ouro
RO;-11653;-62185;Ouro
RO;-11742;-62100;Ouro
RO;-11742;-62077;Ouro
RO;-11812;-62057;Ouro
RO;-11205;-60738;Ouro
RO;-11605;-62368;Ouro
RO;-11623;-62336;Ouro
RO;-11626;-62299;Ouro
RO;-11590;-62332;Ouro
RO;-11922;-62323;Ouro
RO;-11932;-62312;Ouro
RO;-11902;-62222;Ouro
RO;-11939;-62205;Ouro
RO;-11937;-62142;Ouro
RO;-11943;-62079;Ouro
PA;-6460;-52090;Ouro
PA;-6520;-51860;Ouro
PA;-6320;-52380;Ouro
PA;-6670;-50010;Ouro
PA;-6680;-51120;Ouro
PA;-6700;-51080;Ouro
PA;-6720;-51180;Ouro
PA;-6440;-51910;Ouro
PA;-6492;-51667;Ouro
PA;-6492;-51887;Ouro
PA;-6500;-51930;Ouro
PA;-6500;-51970;Ouro
PA;-7510;-50240;Ouro
PA;-7590;-50630;Ouro
PA;-7660;-50880;Ouro
PA;-7690;-50850;Ouro
PA;-7730;-50490;Ouro
PA;-6205;-50711;Ouro
PA;-6201;-50626;Ouro
PA;-6223;-50573;Ouro
PA;-6271;-52165;Ouro
PA;-6389;-52192;Ouro
PA;-6345;-50948;Ouro
PA;-6406;-50421;Ouro
PA;-6438;-50479;Ouro
PA;-6467;-50516;Ouro
PA;-6426;-50072;Ouro
PA;-6913;-51680;Ouro
PA;-7951;-50732;Ouro
PA;-5491;-50057;Ouro
AP;910;-51870;Ouro
AP;720;-52320;Ouro
AP;700;-52360;Ouro
PA;-7360;-50820;Ouro
PA;-7400;-50560;Ouro
PA;-7380;-49900;Ouro
PA;-7423;-49853;Ouro
PA;-7437;-49827;Ouro
PA;-3520;-52030;Ouro
PA;-3580;-51750;Ouro
PA;-3630;-51910;Ouro
PA;-3650;-51730;Ouro
PA;-3760;-51470;Ouro
PA;-3800;-51090;Ouro
PA;-6108;-49703;Ouro
RR;2966;-63196;Ouro
RR;2279;-63268;Ouro
RR;2283;-63243;Ouro
RR;2590;-63827;Ouro
RR;2531;-63609;Ouro
RR;2524;-63692;Ouro
RR;2513;-63722;Ouro
PA;-6851;-56693;Ouro
PA;-6791;-56607;Ouro
PA;-7059;-56932;Ouro
PA;-7064;-56900;Ouro
PA;-7142;-56848;Ouro
PA;-5956;-56646;Ouro
AP;2990;-52100;Ouro
AP;982;-52293;Ouro
PA;490;-53610;Ouro
MT;-10078;-59499;Ouro
MT;-9381;-56556;Ouro
MT;-9519;-56460;Ouro
PA;-9227;-57000;Ouro
MT;-10221;-55079;Ouro
MT;-10834;-55450;Ouro
RO;-11916;-62281;Ouro
RO;-11617;-62332;Ouro
RO;-11408;-64071;Ouro
RO;-11108;-62407;Ouro
RO;-11839;-62290;Ouro
RO;-9382;-65382;Ouro
RO;-10855;-62844;Ouro
RO;-8785;-63933;Ouro
RO;-10221;-65277;Ouro
RO;-13164;-60446;Ouro
RO;-9539;-64867;Ouro
PA;-6380;-50140;Ouro
AM;1009;-63188;Ouro
AM;997;-63164;Ouro
AM;868;-63282;Ouro
AM;798;-63178;Ouro
AM;842;-63324;Ouro
MG;-20342;-43216;Ouro
MG;-20338;-43109;Ouro
MG;-20381;-43380;Ouro
MG;-20561;-43280;Ouro
MG;-21151;-44446;Ouro
MG;-21185;-44330;Ouro
MG;-21135;-44267;Ouro
MG;-21119;-44214;Ouro
MG;-21140;-44173;Ouro
MG;-21025;-44128;Ouro
MG;-19690;-42880;Ouro
PB;-7021;-37650;Ouro
GO;-14910;-49202;Ouro
GO;-14477;-48358;Ouro
GO;-14133;-48567;Ouro
PA;-7113;-56822;Ouro
PA;-7034;-56567;Ouro
PA;-6384;-56284;Ouro
PA;-6367;-54717;Ouro
PA;-6234;-55850;Ouro
AM;-5284;-58184;Ouro
RR;4737;-60605;Ouro
RR;4583;-60150;Ouro
RR;1613;-61964;Ouro
PA;-5439;-56875;Ouro
MT;-16280;-56614;Ouro
MT;-16243;-56658;Ouro
MT;-16267;-56717;Ouro
MT;-16259;-56614;Ouro
MT;-16194;-56611;Ouro
MT;-16111;-56586;Ouro
MT;-16192;-56427;Ouro
MT;-16160;-56414;Ouro
MT;-16141;-56397;Ouro
MT;-15550;-56088;Ouro
MT;-15405;-55973;Ouro
MT;-15788;-55647;Ouro
MT;-15634;-56067;Ouro
MT;-15452;-56035;Ouro
AP;640;-52150;Ouro
PA;520;-53740;Ouro
PA;-423;-53694;Ouro
PA;-3763;-51317;Ouro
PA;-6810;-51150;Ouro
PA;-6810;-50600;Ouro
PA;-6780;-50410;Ouro
PA;-6790;-50210;Ouro
PA;-6840;-50150;Ouro
PA;-6910;-50170;Ouro
PA;-6920;-50130;Ouro
PA;-6870;-49970;Ouro
PA;-6920;-49900;Ouro
PA;-6858;-49820;Ouro
PA;-6880;-49790;Ouro
PA;-6870;-51030;Ouro
PA;-6930;-51030;Ouro
PA;-6960;-51050;Ouro
PA;-6870;-51190;Ouro
PA;-6840;-51230;Ouro
PA;-6840;-51260;Ouro
PA;-6880;-51280;Ouro
PA;-6920;-51240;Ouro
PA;-7040;-50930;Ouro
PA;-7010;-49900;Ouro
PA;-7210;-50670;Ouro
PA;-7220;-50630;Ouro
PA;-7120;-50120;Ouro
PA;-7170;-50150;Ouro
PA;-7140;-49960;Ouro
PA;-7170;-49880;Ouro
PA;-7217;-49944;Ouro
PA;-7240;-49800;Ouro
PA;-7790;-50740;Ouro
PA;-7780;-50810;Ouro
PA;-7790;-50860;Ouro
PA;-7770;-50920;Ouro
PA;-7810;-50960;Ouro
PA;-7840;-51000;Ouro
PA;-7830;-50910;Ouro
PA;-7920;-50910;Ouro
PA;-5989;-49535;Ouro
PA;-7442;-49780;Ouro
PA;-8658;-50830;Ouro
PA;-8654;-50870;Ouro
PA;-8675;-50670;Ouro
PA;-8858;-50250;Ouro
PA;-8725;-50337;Ouro
PA;-8675;-50320;Ouro
PA;-8650;-50330;Ouro
PA;-8710;-50887;Ouro
PA;-7775;-51000;Ouro
AP;3807;-51851;Ouro
AP;3810;-51783;Ouro
AP;3355;-51849;Ouro
AP;1580;-51060;Ouro
AP;1570;-51010;Ouro
AP;1550;-50920;Ouro
AP;1480;-50940;Ouro
AP;1450;-50880;Ouro
AP;1210;-51650;Ouro
AP;1120;-52200;Ouro
AP;1110;-52240;Ouro
AP;1010;-51730;Ouro
AP;1675;-51849;Ouro
AP;1000;-52160;Ouro
AP;1510;-51960;Ouro
PA;-5332;-50868;Ouro
AP;2280;-51666;Ouro
AP;1604;-51260;Ouro
PA;-5369;-50699;Ouro
AP;2298;-51648;Ouro
PA;-5408;-50652;Ouro
AP;2282;-51663;Ouro
AP;3160;-52330;Ouro
AP;2950;-52090;Ouro
PA;-5060;-50165;Ouro
PA;-5212;-50277;Ouro
PA;-5238;-49614;Ouro
PA;-5244;-49541;Ouro
PA;-5366;-49784;Ouro
AP;2920;-52090;Ouro
AP;2890;-52080;Ouro
AP;2850;-52080;Ouro
AM;921;-63226;Ouro
RR;3309;-63755;Ouro
RR;3291;-63690;Ouro
RR;3239;-63789;Ouro
RR;2495;-63735;Ouro
RR;2511;-63727;Ouro
RR;2509;-63742;Ouro
RR;2495;-63772;Ouro
RR;2531;-63792;Ouro
RR;2515;-63717;Ouro
RR;2477;-63729;Ouro
AM;1894;-68113;Ouro
AM;1941;-68131;Ouro
AM;1812;-68135;Ouro
AM;1844;-68207;Ouro
RR;2520;-63657;Ouro
RR;2479;-63681;Ouro
RR;2518;-63769;Ouro
RR;2520;-63706;Ouro
RR;2511;-63706;Ouro
AM;-744;-69609;Ouro
AM;-670;-69550;Ouro
AM;-966;-69458;Ouro
AM;-953;-69410;Ouro
MG;-20053;-43952;Ouro
MG;-20037;-43793;Ouro
MG;-20074;-43865;Ouro
MG;-20014;-43501;Ouro
MG;-20026;-43508;Ouro
MG;-20222;-43863;Ouro
MG;-20140;-43793;Ouro
MG;-20246;-43848;Ouro
MG;-20145;-43741;Ouro
MG;-19508;-41466;Ouro
MG;-20024;-41865;Ouro
MG;-19942;-44438;Ouro
MG;-19948;-44423;Ouro
RO;-12137;-61163;Ouro
RO;-12108;-61156;Ouro
RS;-30812;-53820;Ouro
PE;-7873;-39275;Ouro
PE;-7840;-39271;Ouro
PE;-7854;-39258;Ouro
PE;-7830;-39274;Ouro
PE;-7834;-39203;Ouro
PE;-7754;-39233;Ouro
PE;-7774;-39313;Ouro
PE;-7945;-39349;Ouro
PE;-7937;-39326;Ouro
PE;-7811;-39301;Ouro
PE;-7930;-39316;Ouro
AM;-2146;-69126;Ouro
PA;-425;-57203;Ouro
PA;-7440;-49780;Ouro
PA;-7690;-50750;Ouro
PA;-7760;-50730;Ouro
PA;-7770;-50960;Ouro
PA;-5935;-49621;Ouro
PA;-6790;-50460;Ouro
PA;-6870;-50180;Ouro
PA;-6880;-50130;Ouro
PA;-6850;-50990;Ouro
PA;-6930;-51100;Ouro
PA;-7160;-50670;Ouro
PA;-7170;-49930;Ouro
PA;-7300;-50040;Ouro
PA;-3580;-51927;Ouro
PA;-3710;-51540;Ouro
AP;3450;-52020;Ouro
AP;2458;-51178;Ouro
AP;1589;-51294;Ouro
AP;1522;-50987;Ouro
AP;1520;-51050;Ouro
AP;1040;-52140;Ouro
PA;-5295;-49891;Ouro
PA;-5470;-49666;Ouro
PA;-6015;-52186;Ouro
PA;-5948;-49866;Ouro
PA;-6115;-52008;Ouro
PA;-6141;-50667;Ouro
PA;-6460;-50309;Ouro
PA;-6515;-52082;Ouro
PA;-6616;-51960;Ouro
PA;-6806;-51834;Ouro
PA;-7848;-50551;Ouro
RR;3431;-62131;Ouro
RR;3540;-63341;Ouro
PA;490;-53690;Ouro
BA;-9837;-41609;Ouro
GO;-14828;-49570;Ouro
MG;-21816;-45434;Ouro
MG;-21829;-45445;Ouro
MG;-21816;-45444;Ouro
MG;-21822;-45442;Ouro
MG;-21824;-45435;Ouro
RO;-13000;-60817;Ouro
RO;-11150;-63867;Ouro
RN;-6213;-36294;Ouro
PA;-6331;-49854;Ouro
PA;-6551;-52054;Ouro
PA;-6563;-51838;Ouro
PA;-6597;-51788;Ouro
PA;-6645;-50637;Ouro
PA;-6625;-50563;Ouro
PA;-6651;-50262;Ouro
PA;-6758;-50261;Ouro
PA;-6742;-50359;Ouro
PA;-6769;-51883;Ouro
PA;-6801;-51784;Ouro
PA;-6895;-51160;Ouro
PA;-6829;-49972;Ouro
PA;-6964;-49917;Ouro
PA;-7052;-50633;Ouro
PA;-7098;-50583;Ouro
PA;-7144;-50564;Ouro
PA;-7155;-50527;Ouro
PA;-7184;-50604;Ouro
PA;-7144;-50644;Ouro
PA;-7110;-49951;Ouro
PA;-7256;-50868;Ouro
PA;-7353;-50731;Ouro
PA;-7625;-50709;Ouro
PA;-7664;-50485;Ouro
PA;-7776;-50455;Ouro
AP;700;-52210;Ouro
AP;690;-52260;Ouro
AP;670;-52200;Ouro
AP;670;-52190;Ouro
AP;620;-52160;Ouro
AP;580;-52310;Ouro
AP;580;-52270;Ouro
PA;-3629;-51799;Ouro
PA;-118;-53933;Ouro
PA;530;-53780;Ouro
PA;-149;-53904;Ouro
PA;-178;-53850;Ouro
PA;-175;-53810;Ouro
AM;-928;-69395;Ouro
AM;-850;-69406;Ouro
AM;-845;-69433;Ouro
AM;-856;-69485;Ouro
AM;-854;-69542;Ouro
AM;-818;-69530;Ouro
AM;-809;-69406;Ouro
AM;-805;-69388;Ouro
AM;-755;-69395;Ouro
AM;-750;-69444;Ouro
AM;-768;-69496;Ouro
AM;-726;-69482;Ouro
AM;-726;-69523;Ouro
AM;-663;-69545;Ouro
AM;-653;-69537;Ouro
RR;2542;-63749;Ouro
RR;2619;-63861;Ouro
RR;2828;-63295;Ouro
RR;2524;-63797;Ouro
RR;2587;-63717;Ouro
RR;2290;-62823;Ouro
RR;3267;-63366;Ouro
